Name,Address
SPECTACLES F.Y. EYE,"138 W. College Avenue, State College, PA 16801"
European Eyewear,"741 Harrisburg Pike, Lancaster 17603"
Fox Optical,"28 East 3Rd Street, Bethlehem 18015"
I Wear,"16 West State Street , Doylestown 18901"
Modern Eye West," 3419 Walnut Street, Philadelphia 19104"
Modern Eye East,"145 South 13th Street, Philadelphia 19107"
The Eyeglass Works,"4407 Main Street, Philadelphia 19127"
Cascade Optical,"550 Settlers Drive SE, Suite 1, Ada, MI 19301"
American Vision,"W. Dekalb Pike, Ste 2035 690, King of Prussia, PA 19406"
Georgetown Opticians Wisconsin,"660 Pennsylvania Avenue SE, Washington 20003"
LEICA Store Washington,"977 F STREET NW , Washington 20004"
MYKITA Shop Washington,"3001 M Street NW, Washington DC 20007"
Georgetown Opticians Wisconsin,"1307 Northwest Wisconsin Avenu, Washington 20007"
Voorthuis Opticians Washington,"New Mexico Avenue 3301, Washington DC, DC 20016"
"Eyetopia, Inc.","223 Loudoun St. Se, Leesburg 20175"
Moda Optic,"130 Rollins Avenue, Suite G, Rockville, MD 20852"
Village Eye Center,"9812 Falls Road, Potomac 20854"
Paris West,"521 North Charles, Baltimore, MD 21201"
ActualEyes,"305 Reisterstown Rd, Pikesville, MD 21208"
Visual Eyes Optometrists,"4018 Campbell Avenue , Arlington 22206"
Voorthuis Opticians Alexandria,"530 King Street, Alexandria 22314"
MALIBU IN SIGHT OPTOMETRY,"23401 Civic Center Way, Suite , Malibu, CA 23401"
C. EYEWEAR,"S. STRATFORD RD. STE B 302, WINSTON SALEM, NC 27103"
NC EYE ASSOCIATES,"1429 Kelly Rd, Apex, NC 27502"
The Spectacle,"4209 Lassiter Mill Road, Raleigh 27613"
Autarchic Spec Shop,"1600 E. Woodlawn Rd Suite 362, Charlotte, NC 28209"
NuVue Optical- Copper,"Copper Way Suite 100 12105, Charlotte, NC 28277"
CUSTOM EYES,"1540 S 2nd Street, Wilmington, NC 28401"
Potpourri Eyewear,"376 Main Street, Highlands, NC 28741"
L'Optique - Ashville N.C.,"Wall Street 30, Asheville, NC 28801"
Reimbold Eye Group,"4180 Old Milton Pkwy Suite 1D, Alpharetta, GA 30005"
Pritchett Eye Care,"3005 Old Alabama Rd. Suite 300, Johns Creek, GA 30022"
b. spectacled,"50 Canton Street, Alpharetta 30022"
Bolt Eye Group - Decatur,"216 Church St, Decatur, GA 30030"
Bolt Eye Group - East Cobb,"2255 Sewell Mill Rd., Ste 310, Marietta, GA 30062"
Bolt Eye Group - Canton,"2060 Cumming Hwy, Ste 400, Canton, GA 30115"
Bolt Eye Group - Riverdale,"131 Upper Riverdale Rd., Riverdale, GA 30274"
Ansley Eye Care,"22 E Andrews Drive NW, Ste B, Atlanta, GA 30305"
Midtown Eye care,"650 Ponce de Leon Avenue, Atlanta 30308"
MIDTOWN OPTICAL,"650 Ponce de Leon Ave, Atlanta, GA 30308"
Ansley Eye Care,"1544 Piedmont Ave NE, Atlanta 30324"
Salle Optician,"3500 Peachtree Rd NE, Atlanta, GA 30326"
St. Johns Eye Associates,"100 Marketside Ave, Ste. 305, Ponte Vedra, FL 32081"
Designer Eyes,"8001	Orange Blossom Trail, Sui, Orlando 32809"
Optica Orlando,"8001 S. Orange Blossom Trail , Orlando, Florida 32809"
Optica Florida Mall,"8001 S. Orange Blossom Trail , Orlando, Florida 32809"
Optica ,"8001	S Orange Blossom Trail, Orlando 32809"
Designer Eyes @ Brickell City ,"701	South Miami Avenue, 2Nd Fl, Miami 33131"
I Designs,"210 Miracle Mile , Miami 33134"
The Eye Project,"2030 Douglas Rd #120, Coral Gables, FL 33134"
Eyes on Lincoln,"708 Lincoln Road, Miami Beach, FL 33139"
EYEMAX,"620 Lincoln Road, Miami Beach 33139"
Framed Eyewear,"1656 Lenox Ave, Miami Beach 33149"
Optica Bal Harbour,"9700 Collins Avenue, Bal Harbour, FL 33154"
Eyes of Wellington,"13860-3 Wellington Trace, Wellington, FL 33155"
Optic Gold Inc.,"16810 Collins Avenue, Sunny Isles Beach, FL 33160"
Just One Look,"11401 NW 12th Street, Miami 33172"
Point of View,"11401 NW 12th Street, Miami, FL 33172"
Coco Lunette Aventura LLC,"Aventura Mall, Aventura, Florida 33180"
